ID,Old_ID,DOI,Q1 - Review article? (Scopus),Q1 - Review article? (WoS),Q2 - Addendum or Neupane? (Scopus),Q2 - Addendum or Neupane? (WoS),Q3: Introduction section?,label in the reference list,Number of citation contexts,Citation marker,Citation context,Introduction section?,Author,Title,Year,Journal,Source,Other notes
92,91,10.1016/j.phytochem.2018.10.022,n,n,n,n,,APA,1,"(Willoughby et al., 2014)","Caleanolene B (2) possessed a molecular formula of C23H36O6 as established by (+) HRESIMS data (m/z 431.2462 [M + Na]+). The analysis of its 1H NMR (Table 1), and HSQC NMR data revealed the existence of one sp2 methylene at δH 4.87 (1H, s) and 4.80 (1H, s), three sp2 methines at δH 5.87 (1H, s br), 5.77 (1H, ddd, J = 6.7, 6.8, 15.0 Hz), and 5.56 (1H, d, J = 15.0 Hz), implying the presence of one tri-sub- stituted and two di-substituted double bonds. The 13C NMR spectra of compound 2 (Table 1) carried out at 25 °C presented a poor resolution; secondary and tertiary hydroxyl groups were present at δC 67.4 and 72.0, respectively. Two isobutyryloxy groups were confirmed with the signals at δH 2.61 (2H, m), and 1.21–1.18 (12H, m); the location of these groups at C-12 and C-15 was determined through its HMBC spectrum with the correlations observed between the protons at CH2 -12at δH 3.99 (1H, d, J=11.2Hz) and 4.08 (1H, d, J=11.2Hz) and the signal at δC 177.4 C-1′ (detected by HMBC), and CH2-15 at δH 4.40 (1H, d, J=12.0Hz) and 5.01 (1H, d, J=12.0Hz) and the signal at δC 177.7 C-1′′ (detected by HMBC). The stereochemistry of the C-9 and C-10 double bond was determined to be E by considering the coupling constant (J9,10 = 15.0 Hz). The partial relative configuration of 2 was deduced from a cross peak between H-4 and H-6 from the ROESY ex- periment, helping to place these protons on the same face. However, the presence of the additional stereogenic center at C-11 enabled to de- termine the absolute configuration. The stereochemical properties were depicted using computational quantum mechanical calculations through the comparison of experimental with calculated data. The geometry optimized conformers representing all four possible stereo- isomers were analyzed by applying TDDFT (ECD) and NMR calcula- tions. The experimental and calculated ECD spectra were compared for each stereoisomer. The isomer (4S, 6S, 11R) showed perfect match with the experimental data (Fig. 5). The ECD spectra displayed a prominent negative Cotton effect at ∼210 nm. The NMR tensors were obtained by calculating the GIAO shielding constants of the conformers within 2 kcal/mol of the global minimum. Vibrational analysis was performed to confirm the minima. The DP4 calculations (Smith and Goodman, 2010) were executed at B3LYP/6-311 + G(2d,p) level. The chemical shift (CS) values were calculated according to the guide of the NMR CS assignment of small molecule structures (Willoughby et al., 2014). The DP4 probability analysis of the experimental and calculated CS values supported the ECD results that the (4S, 6S, 11R) was most probable by ∼80.0%. Thus, compound 2 was determined as (4S, 6S, 11R) 4,11- dihydroxy-12,15-diisobutyryloxybisabola-2,7(14),9-triene.",n,"Gogineni V., Nael M.A., Le√≥n F., N√∫√±ez M.J., Cutler S.J.",Computationally aided stereochemical assignment of undescribed bisabolenes from Calea urticifolia,2019,PHYTOCHEMISTRY,"Scopus, Web of Science",
93,92,10.1016/j.phytochem.2022.113136,n,n,n,n,,APA,1,"(Willoughby et al., 2014; Xu et al., 2019)","Conformational searches using the MMFF (Merck molecular force field) force field were performed for 1 by Spartan 09 software (Goto et al., 1989). The above conformers were subjected to DFT (density functional theory) geometry optimization at the B3LYP/6-31G(d) level of theory using the Gaussian 09 program (Wolinsk et al., 1990; Duan et al., 2021b). NMR shielding constants were calculated with the gauge-including atomic orbital (GIAO) method at the mPW1PW91/6-311+G(d,p) level with the polarizable continuum model (PCM) solvent model in DMSO solvent. The shielding constants obtained were converted into chemical shifts by referencing TMS at 0 ppm (δcal = σTMS-σcal), where σTMS was the shielding constant of TMS calculated at the same level. The Boltzmann-weighted conformer population was calculated based on the Gibbs free energy from the geometry optimization step. Then, Boltzmann-weighted averages of the chemical shifts were calculated to scale them against the experimental values (Willoughby et al., 2014; Xu et al., 2019).",n,"Xu W., Bai M., Liu D.-F., Qin S.-Y., Lv T.-M., Li Q., Lin B., Song S.-J., Huang X.-X.",MS/MS-based molecular networking accelerated discovery of germacrane-type sesquiterpene lactones from Elephantopus scaber L,2022,PHYTOCHEMISTRY,"Scopus, Web of Science",
94,93,10.1016/j.phytochem.2022.113200,n,n,y,y,,APA,3,"(Barone et al., 2002a, 2002b; Knowles et al., 2021; Neuhaus et al., 2019; Seco et al., 2004; Smith and Goodman, 2009; Willoughby et al., 2014, 2020)","During ongoing studies of fungal metabolites from specimens collected from aquatic habitats throughout North Carolina (El-Elimat et al., 2014a, 2014b, 2017, 2021; Paguigan et al., 2016), an interesting, purple-colored marine derived mitosporic fungus was isolated from decomposing Spartina stems that was identified as a Periconia sp. (strain G1144). In addition to the typical suite of HRMS and 2D-NMR experiments used for structure elucidation of natural products, a series of orthogonal techniques, such as Mosher's esters methodology (Hoye et al., 2007) and GIAO (gauge-including atomic orbitals) NMR calculations (Barone et al., 2002a, 2002b; Knowles et al., 2021; Neuhaus et al., 2019; Seco et al., 2004; Smith and Goodman, 2009; Willoughby et al., 2014, 2020), including correlation coefficient, DP4+ (Smith and Goodman, 2010) and dJ DP4 calculations (Grimblat et al., 2019), were used to ascertain the absolute configuration of these fungal metabolites.",y,"Cank K.B., Shepherd R.A., Knowles S.L., Rangel-Grimaldo M., Raja H.A., Bunch Z.L., Cech N.B., Rice C.A., Kyle D.E., Falkinham J.O., III, Burdette J.E., Oberlies N.H.",Polychlorinated cyclopentenes from a marine derived Periconia sp. (strain G1144),2022,PHYTOCHEMISTRY,"Scopus, Web of Science",
94,93,10.1016/j.phytochem.2022.113200,n,n,y,y,,APA,3,"(Willoughby et al., 2014)","Macromodel (Version 12.6) interface Maestro (Version 12.2) program was used for all molecular mechanics calculations. For all conformational searches, MMFF force field and torsional sampling Monte Carlo Multiple Minimum (MCMM) method were used with extended torsional sampling (Willoughby et al., 2014), The resulting conformers were filtered, checked for duplicity, and minimized using a DFT force field at the M062X/6-31 + G (d,p) level of theory. B3LYP/6-311 + G (2 d,p) level of theory with the IEFPCM model were used at the GIAO method to calculate NMR shielding constants. The obtained shielding constants were eventually converted into chemical shifts (ppm) by referencing TMS to 0 ppm. The final 13C and 1H NMR shifts were calculated for each conformer for each compound based on the total Boltzmann distribution and relative energies. The NMR shifts for each particular species were calculated based on the work of Willoughby et al., 2014, 2020 To further calculate the corrected correlation coefficient (r) for the combined 13C and 1H data for compounds 1–4, the calculated 13C and 1H NMR data were first empirically scaled and then the individual correlation coefficients were calculated using excel (=correl (calculated, experimental)). Then, the geometric mean of the correlation coefficients for 13C and 1H was taken (Smith and Goodman, 2009, 2010). The DP4+ and dJ DP4 calculations were carried out as described by the Sarotti Group using their available spreadsheet (Grimblat et al., 2015). For dJ DP4 calculations Boltzmann averaged isotropic shielding values and coupling constants (FC only) were computed using full conformational search (with no constraints) (Grimblat et al., 2019). The conformers generated for the NMR calculations were taken to calculate the optical rotation values. The optical rotations were calculated at the GIAO method at the B3LYP/6-31G (d,p) level of theory in CHCl3 for 1–4 (Srebro et al., 2011; Stephens et al., 2006) based on the total Boltzmann distribution and relative energies using SpecDis software (Bruhn et al., 2013).",n,"Cank K.B., Shepherd R.A., Knowles S.L., Rangel-Grimaldo M., Raja H.A., Bunch Z.L., Cech N.B., Rice C.A., Kyle D.E., Falkinham J.O., III, Burdette J.E., Oberlies N.H.",Polychlorinated cyclopentenes from a marine derived Periconia sp. (strain G1144),2022,PHYTOCHEMISTRY,"Scopus, Web of Science",The citation marker appeared twice in the same paragraph
94,93,10.1016/j.phytochem.2022.113200,n,n,y,y,,APA,3,"Willoughby et al., 2014, 2020","Macromodel (Version 12.6) interface Maestro (Version 12.2) program was used for all molecular mechanics calculations. For all conformational searches, MMFF force field and torsional sampling Monte Carlo Multiple Minimum (MCMM) method were used with extended torsional sampling (Willoughby et al., 2014), The resulting conformers were filtered, checked for duplicity, and minimized using a DFT force field at the M062X/6-31 + G (d,p) level of theory. B3LYP/6-311 + G (2 d,p) level of theory with the IEFPCM model were used at the GIAO method to calculate NMR shielding constants. The obtained shielding constants were eventually converted into chemical shifts (ppm) by referencing TMS to 0 ppm. The final 13C and 1H NMR shifts were calculated for each conformer for each compound based on the total Boltzmann distribution and relative energies. The NMR shifts for each particular species were calculated based on the work of Willoughby et al., 2014, 2020 To further calculate the corrected correlation coefficient (r) for the combined 13C and 1H data for compounds 1–4, the calculated 13C and 1H NMR data were first empirically scaled and then the individual correlation coefficients were calculated using excel (=correl (calculated, experimental)). Then, the geometric mean of the correlation coefficients for 13C and 1H was taken (Smith and Goodman, 2009, 2010). The DP4+ and dJ DP4 calculations were carried out as described by the Sarotti Group using their available spreadsheet (Grimblat et al., 2015). For dJ DP4 calculations Boltzmann averaged isotropic shielding values and coupling constants (FC only) were computed using full conformational search (with no constraints) (Grimblat et al., 2019). The conformers generated for the NMR calculations were taken to calculate the optical rotation values. The optical rotations were calculated at the GIAO method at the B3LYP/6-31G (d,p) level of theory in CHCl3 for 1–4 (Srebro et al., 2011; Stephens et al., 2006) based on the total Boltzmann distribution and relative energies using SpecDis software (Bruhn et al., 2013).",n,"Cank K.B., Shepherd R.A., Knowles S.L., Rangel-Grimaldo M., Raja H.A., Bunch Z.L., Cech N.B., Rice C.A., Kyle D.E., Falkinham J.O., III, Burdette J.E., Oberlies N.H.",Polychlorinated cyclopentenes from a marine derived Periconia sp. (strain G1144),2022,PHYTOCHEMISTRY,"Scopus, Web of Science",The citation marker appeared twice in the same paragraph
95,94,10.1016/j.phytochem.2022.113278,n,n,n,n,,APA,1,"(Frisch et al., 2010; Willoughby et al., 2014; Zhao and Truhlar, 2008)","The initial conformer of 1 was established by the MM2 force field in the ChemDraw_Pro_14.1 software according to the NOESY spectrum. Firstly, the conformational search was performed via the Monte Carlo multiple minimum (MCMM) method (Harder et al., 2016; Shivakumar et al., 2012) under the OPLS3 force field by the Macromodel 10.2 program (Schrödinger Release 2015-2: MacroModel, Schrödinger, LLC, New York, NY) (Chang et al., 1989), with an energy window being kept at 3.01 kcal/mol. The conformers were then re-optimized to satisfy the observed NOEs by using TDDFT at the IEFPCM/B3LYP/6-311G**//B3LYP/6-31G* level in methanol by the Gaussian 16 program (Frisch et al., 2010; Willoughby et al., 2014; Zhao and Truhlar, 2008). The reoptimized conformers at the energy minima were confirmed by Frequency analysis. Finally, the Boltzmann-averaged ECD spectra were obtained by using the SpecDis 1.64 software (https://specdis-software.jimdo.com/) (Bruhn et al., 2013; Pescitelli and Bruhn, 2016) (details of the ECD computational data see the supplementary data).",n,"Cui J.-J., Li W.-J., Wang C.-L., Huang Y.-Q., Lin W., Zhou B., Yue J.-M.",Antimicrobial abietane-type diterpenoids from Torreya grandis,2022,Phytochemistry,Scopus,
96,95,10.1016/j.phytochem.2023.113587,n,n,y,y,,APA,1,"(Willoughby et al., 2014; 2020)","Conformational searches were performed by Spartan’14 software (Spartan'14, 2014) using the MMFF94 force field. Conformers occurring within a 5 kcal mol−1 energy window from the global minima were then imported into the Gaussian 09 software (Frisch et al., 2010) for geometry optimization and frequency calculation at DFT level using the B3LYP functional with a basis set of 6–31G(d). TDDFT ECD calculations were performed on the optimized conformers at the B3LYP or ωB97X-D/6-311G++(d,p) level using a PCM solvation model for MeOH. The ECD spectrum for each optimized conformer was weighted by Boltzmann distribution, and the overall ECD curves were produced by SpecDis (version 1.64) software (Bruhn et al., 2015) after UV correction. Gauge-Including Atomic Orbital (GIAO) NMR calculations were performed on the optimized conformers at the mPW1PW91/6-31 + G (d,p) level with PCM solvation model for CHCl3. The Boltzmann-averaged magnetic shielding tensors were converted into chemical shifts (ppm) with TMS as the reference standard (Willoughby et al., 2014; 2020). The DP4+ calculations were carried out using the Excel spreadsheet provided by the Sarotti group (Grimblat et al., 2015).",n,"Tang S.-Y., Tan C.-H., Sim K.-S., Yong K.-T., Lim K.-H., Low Y.-Y., Lim S.-H.","Polyneurines A-H, iboga alkaloids from Tabernaemontana polyneura",2023,PHYTOCHEMISTRY,"Scopus, Web of Science",
97,96,10.1016/j.phytochem.2023.113690,n,n,n,n,,APA,1,"(Willoughby et al., 2014)","NMR shielding constants were calculated with the GIAO method at mPW1PW91-SCRF/6-31 + G(d,p) level with IEFPCM solvent model in chloroform solvent. The shielding constants obtained were converted into chemical shifts by referencing to TMS at 0 ppm (_cal = _TMS – _cal), where the _TMS was the shielding constant of TMS calculated at the same level (Willoughby et al., 2014).  The DP4+probabilities of each possible candidate were calculated with the EXCEL spreadsheet provided by Sarotti et al. (Grimblat et al., 2015). For each possible candidate, the parameters a and b of the linear regression δcal =aδexp +b; the correlation coefficient, R2; the mean absolute error (MAE) defined as Σn |δ cal − δexp|/n; the corrected mean absolute error, CMAE, defined as Σn|δcorr − δexp|/n, where δcorr =(δcal − b)/a, were calculated.",n,"Zhai L.-L., Jiang T.-T., Zhang R., Li J.-N., Zhai Y.-J., Zhang Q., Li D., Han W.-B.",Ergostane-type sterols and sesquiterpenes with anti-neuroinflammatory activity from a Nigrograna species associated with Clematis shensiensis,2023,PHYTOCHEMISTRY,"Scopus, Web of Science",
98,97,10.1016/j.phytol.2015.07.004,n,n,n,n,,APA,1,"(Willoughby et al., 2014)","The aglycone was therefore identified as 14-carboxy-24-methylenelanost-8(9)-en-3-ol. Inspection of literature data revealed already known saponin derivatives with the same aglycone, all of them belonging to the eryloside family from sponges of the genus: erylosides G and H from the sponge Erylus nobilis collected of the Korean coast (Shin et al., 2001) and erylosides F1, M, O, P, T4, T5 and T6 from the sponge Erylus formosus collected in the Caribbean (Antonov et al., 2011, Antonov et al., 2007). The relative stereochemistry was undoubtedly assigned by comparison of the 13C NMR chemical shifts of 1 with all the NMR data of these erylosides. Additionally, calculation of the mean average error (MAE < 0.1 ppm) gave a satisfying result and confirm the relative stereochemistry as 3S*, 5S*, 10S*, 13R*, 14S*, 17R*, 20R* (Willoughby et al., 2014).
",n,"Genta-Jouve G., Boughanem C., Oca√±a O., P√©rez T., Thomas O.P.","Eryloside W, a triterpenoid saponin from the sponge Dictyonella marsilii",2015,PHYTOCHEMISTRY LETTERS,"Scopus, Web of Science",
99,98,10.1016/j.phytol.2019.12.008,n,n,n,n,,APA,5,"(Willoughby et al., 2014)","To confirm the 1H and 13C NMR assignments of compound 1, we performed computational NMR chemical shifts prediction using DFT quantum mechanical calculations (Willoughby et al., 2014). Conformational analyses of 1 were performed in Gaussian 16 using DFT/B3LYP functional with the 6-31+G(d,p) basis set for geometry optimization and frequency calculations for the candidate structure. All conformers with a relative energy difference <5 kcal/mol from the most stable conformer (Fig. 2d) were kept and carried forward for NMR analysis. NMR shielding tensors were computed with the GIAO (gauge-independent (or including) atomic orbitals) method in Gaussian 16 using the DFT/MPW1PW91 functional with the 6-311+G(2d,p) basis set, with acetone as the solvent, and the obtained tensor values were then converted to the predicted chemical shifts using the equation described in (Willoughby et al., 2014) (Table 1S, supplementary data). The mean absolute error (MAE) between the computed and the experimental data sets was 0.0825, which is within the “correct fit” cut off of 0.10 ppm (Willoughby et al., 2014).",n,"Noviany N., Samadi A., Yuliyan N., Hadi S., Aziz M., Purwitasari N., Mohamad S., Ismail N.N., Gable K.P., Mahmud T.","Structure characterization and biological activity of 2-arylbenzofurans from an Indonesian plant, Sesbania grandiflora (L.) Pers",2020,PHYTOCHEMISTRY LETTERS,"Scopus, Web of Science",The citation marker appeared multiple times in the same paragraph. And the citation markers are the same
99,98,10.1016/j.phytol.2019.12.008,n,n,n,n,,APA,5,"(Willoughby et al., 2014)","To confirm the 1H and 13C NMR assignments of compound 1, we performed computational NMR chemical shifts prediction using DFT quantum mechanical calculations (Willoughby et al., 2014). Conformational analyses of 1 were performed in Gaussian 16 using DFT/B3LYP functional with the 6-31+G(d,p) basis set for geometry optimization and frequency calculations for the candidate structure. All conformers with a relative energy difference <5 kcal/mol from the most stable conformer (Fig. 2d) were kept and carried forward for NMR analysis. NMR shielding tensors were computed with the GIAO (gauge-independent (or including) atomic orbitals) method in Gaussian 16 using the DFT/MPW1PW91 functional with the 6-311+G(2d,p) basis set, with acetone as the solvent, and the obtained tensor values were then converted to the predicted chemical shifts using the equation described in (Willoughby et al., 2014) (Table 1S, supplementary data). The mean absolute error (MAE) between the computed and the experimental data sets was 0.0825, which is within the “correct fit” cut off of 0.10 ppm (Willoughby et al., 2014).",n,"Noviany N., Samadi A., Yuliyan N., Hadi S., Aziz M., Purwitasari N., Mohamad S., Ismail N.N., Gable K.P., Mahmud T.","Structure characterization and biological activity of 2-arylbenzofurans from an Indonesian plant, Sesbania grandiflora (L.) Pers",2020,PHYTOCHEMISTRY LETTERS,"Scopus, Web of Science",The citation marker appeared multiple times in the same paragraph. And the citation markers are the same
99,98,10.1016/j.phytol.2019.12.008,n,n,n,n,,APA,5,"(Willoughby et al., 2014)","To confirm the 1H and 13C NMR assignments of compound 1, we performed computational NMR chemical shifts prediction using DFT quantum mechanical calculations (Willoughby et al., 2014). Conformational analyses of 1 were performed in Gaussian 16 using DFT/B3LYP functional with the 6-31+G(d,p) basis set for geometry optimization and frequency calculations for the candidate structure. All conformers with a relative energy difference <5 kcal/mol from the most stable conformer (Fig. 2d) were kept and carried forward for NMR analysis. NMR shielding tensors were computed with the GIAO (gauge-independent (or including) atomic orbitals) method in Gaussian 16 using the DFT/MPW1PW91 functional with the 6-311+G(2d,p) basis set, with acetone as the solvent, and the obtained tensor values were then converted to the predicted chemical shifts using the equation described in (Willoughby et al., 2014) (Table 1S, supplementary data). The mean absolute error (MAE) between the computed and the experimental data sets was 0.0825, which is within the “correct fit” cut off of 0.10 ppm (Willoughby et al., 2014).",n,"Noviany N., Samadi A., Yuliyan N., Hadi S., Aziz M., Purwitasari N., Mohamad S., Ismail N.N., Gable K.P., Mahmud T.","Structure characterization and biological activity of 2-arylbenzofurans from an Indonesian plant, Sesbania grandiflora (L.) Pers",2020,PHYTOCHEMISTRY LETTERS,"Scopus, Web of Science",The citation marker appeared multiple times in the same paragraph. And the citation markers are the same
99,98,10.1016/j.phytol.2019.12.008,n,n,n,n,,APA,5,Willoughby et al. (2014),"Conformational analysis of sesbagrandiflorain C (1) was performed in Gaussian 16 using DFT/B3LYP functional with the 6-31+G(d,p) basis set for geometry optimization and frequency calculations for the candidate structure. All conformers with energy difference <5 kcal/mol from the most stable conformer were kept and carried forward for NMR analysis. NMR shielding tensors were computed with the GIAO (gauge-independent (or including) atomic orbitals) method in Gaussian using the DFT/MPW1PW91 functional with the 6-311+G(2d,p) basis set, with acetone as the solvent. The obtained tensor values were then converted to predicted chemical shifts using the equation described in Willoughby et al. (2014) with appropriate scaling and referencing factors (slope and intercept, respectively) obtained from http://cheshirenmr.info/ScalingFactors.htm. Assessment of goodness of fit was done by calculating the mean absolute error (MAE) between the computed and the experimental data sets. MAEs of ≤0.10 ppm are considered to be ‘correct’ fits and those of ≥0.20 ppm are considered to be ‘incorrect’ structure matches (Willoughby et al., 2014).",n,"Noviany N., Samadi A., Yuliyan N., Hadi S., Aziz M., Purwitasari N., Mohamad S., Ismail N.N., Gable K.P., Mahmud T.","Structure characterization and biological activity of 2-arylbenzofurans from an Indonesian plant, Sesbania grandiflora (L.) Pers",2020,PHYTOCHEMISTRY LETTERS,"Scopus, Web of Science",The citation marker appeared multiple times in the same paragraph
99,98,10.1016/j.phytol.2019.12.008,n,n,n,n,,APA,5,"(Willoughby et al., 2014)","Conformational analysis of sesbagrandiflorain C (1) was performed in Gaussian 16 using DFT/B3LYP functional with the 6-31+G(d,p) basis set for geometry optimization and frequency calculations for the candidate structure. All conformers with energy difference <5 kcal/mol from the most stable conformer were kept and carried forward for NMR analysis. NMR shielding tensors were computed with the GIAO (gauge-independent (or including) atomic orbitals) method in Gaussian using the DFT/MPW1PW91 functional with the 6-311+G(2d,p) basis set, with acetone as the solvent. The obtained tensor values were then converted to predicted chemical shifts using the equation described in Willoughby et al. (2014) with appropriate scaling and referencing factors (slope and intercept, respectively) obtained from http://cheshirenmr.info/ScalingFactors.htm. Assessment of goodness of fit was done by calculating the mean absolute error (MAE) between the computed and the experimental data sets. MAEs of ≤0.10 ppm are considered to be ‘correct’ fits and those of ≥0.20 ppm are considered to be ‘incorrect’ structure matches (Willoughby et al., 2014).",n,"Noviany N., Samadi A., Yuliyan N., Hadi S., Aziz M., Purwitasari N., Mohamad S., Ismail N.N., Gable K.P., Mahmud T.","Structure characterization and biological activity of 2-arylbenzofurans from an Indonesian plant, Sesbania grandiflora (L.) Pers",2020,PHYTOCHEMISTRY LETTERS,"Scopus, Web of Science",The citation marker appeared multiple times in the same paragraph
100,99,10.1016/j.phytol.2021.09.004,n,n,y,y,,APA,1,"(Willoughby et al., 2014, 2020)","Conformational searches were performed on four possible diastereomers of 3 by Spartan’14 software (Wavefunction, Inc., Irvine, CA, USA) using the MMFF force field. The resulting conformers which occurred within a 5 kcal/mol energy window from the global minima were subjected to geometry optimization and frequency calculations with Gaussian 09 software (Gaussian 09, Revision C.01, Gaussian, Inc., Wallingford, CT, USA) at the B3LYP/6-31+G(d,p) level of theory. Gauge-including atomic orbital (GIAO) NMR calculations were performed on the optimized conformers within 2 kcal/mol of the B3LYP/6-31+G(d,p) lowest-energy conformers at the mPW1PW91/6-311 G(d) level in the gas phase. The Boltzmann-averaged magnetic shielding tensors were converted into chemical shifts (ppm) with TMS as the reference standard (Willoughby et al., 2014, 2020). The DP4+calculations were carried out using the Excel spreadsheet provided by the Sarotti group (Grimblat et al., 2015).",n,"Chan Z.-Y., Krishnan P., Hii L.-W., Mai C.-W., Leong C.-O., Low Y.-Y., Wong S.-K., Ting K.-N., Yong K.-T., Lim K.-H.",Unusual diarylheptanoid-phenylpropanoid adducts and diarylheptanoid alkaloids from Pellacalyx saccardianus,2021,PHYTOCHEMISTRY LETTERS,"Scopus, Web of Science",
101,100,10.1016/j.phytol.2023.03.005,n,n,n,n,,APA,1,"(Willoughby et al., 2014)","The initial conformation search was conducted using the MMFF94 molecular mechanical forcefield with Confab O'Boyle (O'Boyle et al., 2011). These conformers were applied to optimization using xtb program at gfn2 level (Bannwarth et al., 2019). The conformers in the lowest energy window of 5 kcal/mol were reoptimized at B3LYPD3(BJ)/6–31 G(d) with IEFPCM model in DMSO using Gaussian 16 package (Frisch et al., 2019) and the conformers with population over 1% were kept. Frequency analysis of all optimized conformations was also performed at the same level of theory to exclude the imaginary frequencies. NMR shielding tensors were calculated with the GIAO method (Willoughby et al., 2014) at mPW1PW91/6–31 +G(d,p) level with IEFPCM solvent model in DMSO. The shielding constants were converted into chemical shifts by referencing to TMS at 0 ppm (δcal = σTMS – σcal), where the σTMS was calculated at the same level. For each candidate, the parameters a and b of the linear regression δcal = aδexp + b; the correlation coefficient, R2; the mean absolute error (MAE) defined as Σn |δcal – δexp|/n; the corrected mean absolute error, CMAE, defined as Σn |δcorr–δexp|/n, where δcorr = (δcal – b)/a, were calculated. DP4 + probability analysis was performed using the shielding tensors (Grimblat et al., 2015). ECD spectra were calculated by the TDDFT methodology at the B3LYP/TZVP level utilizing IEFPCM model in DMSO. ECD spectrum was simulated according to the Boltzmann distribution theory and relative Gibbs free energy (ΔG) using SpecDis 1.71 (Bruhn et al., 2013) with σ = 0.3 eV.",n,"Yan Q.-H., Yang L., Ma Q.-Y., Xie Q.-Y., Dai H.-F., Fu Y., Zhao Y.-X.",Two new ?-pyrone derivatives from sponge-derived fungus Curvularia sp. ZYX-Z-4,2023,PHYTOCHEMISTRY LETTERS,"Scopus, Web of Science",
102,101,10.1016/j.pnmrs.2016.08.001,y,y,n,n,,205,1,[205],"With significant developments in the calculation of NMR chemical shifts from a given structure [204], the reverse process of structure prediction of small molecules from NMR chemical shifts has reached a point where it can be routinely applied to new, small organic molecules being synthesised [205]. These methods are expected to pay rich dividends in the solid state, where powder samples can be studied in situ and crystallisation (for X-ray diffraction) or solublisation (for solution NMR) will not be necessary. These calculations depend heavily on the availability of experimental isotropic chemical shifts for  and  atoms. Emsley and coworkers have shown that  detection at high frequency MAS (65 kHz) can be used effectively to determine these chemical shifts [206], [207] which can then allow structure determination of powdered samples. These developments have been used in either high frequency MAS or moderate-frequency MAS with homonuclear decoupling to characterise several small molecular systems [208], [209], [210]. These methods are only expected to improve at higher MAS frequencies. Nishiyama and co-workers [211] have shown that one can use minute quantities of organic samples at natural abundance to record multidimensional experiments to aid structure calculations.",n,"Mote K.R., Agarwal V., Madhu P.K.",Five decades of homonuclear dipolar decoupling in solid-state NMR: Status and outlook,2016,PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY,"Scopus, Web of Science",
103,102,10.1016/j.pnmrs.2017.11.003,y,y,n,n,,27,1,[25–29],"Solution nuclear magnetic resonance (NMR) has long been used to determine the primary and stereochemical structures of syn- thetic [23,24] and naturally-occurring small molecules in organic and natural chemistry [25–29]. NMR analysis can determine the macromolecular structure for peptides [30,31], proteins [32,33], polysaccharides [34–36], and other molecular assemblies [37–39]. Methodological advances in multidimensional NMR anal- ysis over the past four decades have extended its use to biological fields, in which it has made significant contributions. One example is the assignment of NMR signals in biomacromolecular complexes [40,41]. In particular, the structural analysis of high molecular- weight proteins has become possible using multi-dimensional NMR assisted with stable isotope labeling [42–46]. After sequential assignment, the secondary structures of proteins can be deter- mined using conformation-dependent information from 1H and 13C chemical shifts [32,33,47–50]. Furthermore, recent progress in hardware development, such as advances toward higher mag- netic fields [51,52], introduction of cryogenically cooled probes [53], and cost-effective low-field magnet NMR instruments [54], can offer new applications of NMR to various samples with high molecular complexity, such as crude extracts from biological tis- sues and biogeochemical samples from natural environments.",y,"Kikuchi J., Ito K., Date Y.",Environmental metabolomics with data science for investigating ecosystem homeostasis,2018,PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY,"Scopus, Web of Science",
104,103,10.1016/j.pnmrs.2019.05.004,y,y,n,n,,301,1,[297-301],"Further illustrative examples are given in a series of recent reviews [297-301]. Determining the structure and stereochemistry of natural products is a vital and a long-standing problem. NMR spectroscopy is widely employed for this purpose; however, very often the interpretation of the results can only be performed safely with the aid of empirical methods or expert systems. In this connection, quantum chemical calculations, generally based on density functional theory, provide a straightforward tool for predicting 13C NMR chemical shifts of natural products with sufficient accuracy. This is illustrated below for vannusal B (Fig. 60), with the 13C NMR chemical shifts of its stereoisomers calculated at the M06/pcS-2 level of theory by Saielli et al. [302] compared with experiment. These calculations enabled the unambiguous assignment of vannusal B (compare the structure originally assigned 288 with the revised structure 299) together with all identified stereoisomers 293–298 of this vitally important natural product.",n,Krivdin L.B.,Computational protocols for calculating C-13 NMR chemical shifts,2019,PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY,"Scopus, Web of Science",
105,104,10.1016/j.polymer.2022.125153,n,n,n,n,,31,1,[31],"Four monofunctional allyl monomers with different electronic structures were selected for calculation: amylene (AM), dimethyl diallylamine (DMAA), allyl acetate (AAc) and ABE. All the calculations were based on using the B3YLP functional with the 6–311++g(d,p) basis set implemented in Gaussian 16 in water [25–27]. All geometries were characterized as minimum or transition states (TS) through frequency calculations. The reported free energy changes (ΔG), which are also referred to as reaction driving forces, were obtained through single point energy calculations [28]. Solvent effects were included in the solvation model based on the density model (SMD) [29,30]. DFT was also used to calculate chemical shifts in DMSO [31]. Multiwfn was used to process the calculated NMR data [32].",n,"Chen P., Zhou Y., Li Q., Xiao Q., Lun Y., Huang Y., Ye G.",Study on the photopolymerization mechanism of allyl monomers: A photo-driven radical-mediated [3+2] cyclopolymerization mechanism to reduce degradation chain transfer,2022,POLYMER,"Scopus, Web of Science",
