CC_ID,DOI,Citation context (sent),Citation context level annotation
CC391,10.3390/plants8090301,"The conformational search for 5S,6S,9S-1, 5R,6S,9S-1, 5S,6R,9S-1, and 5R,6R,9S-1 was carried out using the OPLS 2005 force field and torsional sampling of the Macro Model program [31,36].",N
CC9,10.1002/cbdv.201700294,"NMR absolute shieldings were then computed for all conformations using the GIAO method, at the B3LYP/6-311+G(2d,p), accordingly to a protocol reported in the literature.[40]",N
CC105,10.1016/j.molstruc.2017.09.058,"Employing basis sets dependent on explicit external magnetic fields, GIAO is the most reliable and widely used method to compute nuclear magnetic shielding tensors [46e50].",N
CC356,10.1186/s13321-022-00587-7,"It is known that the 3-21G basis set for geometry optimization is not adequate to obtain high accuracy in NMR chemical shift calculations [127, 140, 141], but in this study it is only used to simulate NMR spectral data in order to obtain a reasonable representative distribution of (likely moderate accuracy) chemical shifts.",N
CC98,10.1016/j.jorganchem.2018.03.014,"Pi coefficients were estimated to weight the calculated chemicals shifts based on the relative stability of each conformer according to the Boltzmann distribution [18,19].",Y
CC74,10.1016/j.bioorg.2022.106025,"NMR shielding tensors were calculated with the GIAO method [19] at mPW1PW91/6–31 + G(d,p) level with IEFPCM solvent model in chloroform.",N
CC311,10.1039/c8nr06868b,"To determine the goodness of the fit for each isomer relative to the experimental values, we calculated the mean absolute error (MAE) for each isomer,41 as shown in Table 1.",N
CC223,10.1021/acs.jnatprod.8b00713,Computational methods4−6 that involve predictions of chemical shift values and associated mean absolute error (MAE) values have provided a valuable complementary approach.,N
CC70,10.1016/j.aca.2019.01.023,"To better understand the fluorescence performance of IPPA, density functional theory (DFT) calculation was performed using the B3LYP method on the Gaussian 09 program [58-60], and the spatial distribution and orbital energy of HPIP and IPPA were optimized (Figs. S13eS14).",Y
CC180,10.1021/acs.jctc.7b00772,There are another two issues that in general should be considered regardless of the underlying computational methodology: averaging chemically equivalent signals and Boltzmann weighting of conformers.6,N
CC349,10.1186/s13321-018-0305-8,"First, the initial geometries of axial and equatorial conformers were taken from the study of Willoughby et al. [92].",N
CC220,10.1021/acs.jnatprod.8b00234,"Consequently, in order to assign the C-10′ configuration, we applied a DFT/ NMR approach that has been successfully used in the characterization of unknown stereostructures by us18−22 and by other research groups.23",Y
CC34,10.1002/mrc.4951,MMFF94 ensembles were obtained with a “standard” energy threshold of 21 kJ/mol in vacuo.[9],N
CC381,10.3390/md17070423,"Therefore, we turned to a protocol that relies on density functional theory-based computations of 1H and 13C NMR chemical shifts and the use of statistical tools to assign the experimental data to the correct isomer of a compound [28].",Y
CC350,10.1186/s13321-018-0305-8,"Relative free energies of the conformations and Boltzmann weighted NMR chemical shifts were compared to those found in the literature [92, 107–109].",N
CC117,10.1016/j.molstruc.2018.10.064,"Aiming at the stereochemical assignment of molecules, computational calculations have been increasingly applied to predict NMR properties, including 1H and 13C NMR chemical shifts and coupling constants. [26e30].",N
CC286,10.1021/jacs.8b13481,"In addition, we sought an additional layer of reassurance using quantum chemically computed NMR chemical shifts.33",Y
CC292,10.1038/nature23265,"This severely complicates configurational analysis to the extent that standard approaches based on empirical NMR analysis3, or even recent quantum-chemical approaches using chemical-shift data10–12, are insufficient.",N
CC69,10.1016/s1875-5364(19)30120-7,"For each possible candidate, the parameters a and b of the linear regression δcal = aδexp + b; the correlation coeffi- cient, R2; the mean absolute error (MAE) defined as Σn |δcal – δexp|/n; the corrected mean absolute error, CMAE, defined as Σn |δcorr – δexp|/n, where δcorr = (δcal – b)/a, were calculated [28].",N
CC316,10.1039/c9an00950g,"The time-dependent density functional theory (TDDFT) method was applied to obtain the calculated ECD spectra using the Gaussian 09 software.31,32",N
CC392,10.3762/bjoc.12.10,"The observed 1H and 13C NMR chemical shifts are closely matched by those derived from the DFT calculations (see Supporting Information File 2 for details) [26,27], with average errors of 0.13 ppm for 1H (RMS error = 0.17), and 1.9 ppm for 13C (RMS error = 2.6).",Y
CC342,10.1142/9781786344090_0003,"The Hoye group has published an casy to follow set of protocols for performing a computational NMR. study, including scripts to help automate the process.63",N
CC276,10.1021/acschembio.5b00894," In addition, the postulated structures can be verified by comparison of experimental data with predictive data.35,36",N
CC22,10.1002/ejoc.201901363,"For the level of theory used herein [B3LYP/6-311+G(2d,p)//M06-2X/6-31+G(d,p)] the following values have been calculated by Willoughby et al.:[16] for 1H: intercept = 31.9477, slope = –1.0767; for 13C: intercept = 181.2412, slope = –1.0522.",N
CC78,10.1016/j.comptc.2014.11.007,"Recently, Willoughby et al. [46] published, “A guide to small-molecule structure assignment through computation of (1H and 13C) NMR”.",N
CC134,10.1016/j.phytol.2015.07.004,"Additionally, calculation of the mean average error (MAE < 0.1 ppm) gave a satisfying result and confirm the relative stereochemistry as 3S*, 5S*, 10S*, 13R*, 14S*, 17R*, 20R* (Willoughby et al., 2014).",N
CC355,10.1186/s13321-022-00587-7,"Agreement between predicted and experimental chemical shifts can be improved when (i) the basis set is enlarged [104, 122], (ii) the quality of the method is improved for geometry optimization [123, 124], (iii) a scaling procedure is employed [125, 126], (iv) conformational sampling is applied [127], and (v) solvation is taken into account appropriately [128, 129].",N
CC314,10.1039/c8qo00357b,NMR computations were carried out in the framework of the gauge-independent atomic orbital approach.34,Y
CC368,10.3390/cryst13010016,"In order to bring NMR spectroscopy even closer to experimental chemists (as a tool for 3D structural determination of molecules), Willoughby et al. suggested a 4-step protocol which leans on the computation of NMR parameters on a set of candidate structures, all of them with geometry optimized by computational chemistry methods [1].",N
CC279,10.1021/jacs.5b07858,"Energies of each of the 30 lowest energy conformations were calculated, and the relevant coupling constants were determined after weighting by the Boltzmann distributions of the associated conformer populations (B3LYP/6-311+G(2d,p)).26",Y
CC228,10.1021/acs.jnatprod.9b00173,The conformational analysis of each compound was performed with Schrodinger MacroModel 2018 as described by Willoughby et al.43,N
CC73,10.1016/j.bioorg.2020.104597,"All the conformers were optimized at the B3LYP/6–311++G (2d, p) level using the Gaussian09 package [16–18].",N
CC298,10.1039/9781782623946-00369,"Solution nmr has been used to determine primary and stereochemical structures of synthesized37,38 and extracted small molecules in organic and natural chemistry,27,30,39 respectively.",N
CC212,10.1021/acs.jnatprod.6b00574,"Therefore, in order to provide further evidence for our structural assignment of 2, 1H NMR chemical shifts were calculated and compared with the experimental data according to the protocol of Willoughby and collaborators.9",Y
CC262,10.1021/acs.jpcc.6b06155,Theoretical NMR chemical shifts were predicted using a protocol similar to that outlined in Willoughby et al.41,Y
CC301,10.1039/c6qo00556j,There are few general methods available for structural corrections and confirmation besides NMR analysis4 including computational NMR methods and total synthesis.,N
CC334,10.1055/s-0042-111393,Each set of computed data was compared with the experimental data of 7 and the MAE was determined [21].,N
CC4,10.1002/anie.201810566,"To resolve this ambiguity, we conducted NMR prediction calculations (Figure 1 B).13, 14",Y
CC152,10.1016/j.tet.2016.12.027,"The 1H and 13C NMR chemical shifts of the low-energy conformers with Boltzmann populations greater than 1% were calculated using the gauge- including atomic orbital (GIAO) method at the mPW1PW91-SCRF/ 6-311þG(2d,p) level in MeOH (6) or acetone (4, 5, and 7) (PCM).11",Y
CC86,10.1016/j.ejmech.2020.112888,"Deviations within 6 ppm for 13C and 0.3 ppm for 1H shifts are considered acceptable [30,32,33].",N
CC196,10.1021/acs.jnatprod.1c00738,"To understand this variation in the chemical shift of hydrogens of compounds 1 and 2, the three-dimensional structures of 1, 2, and nepalenside B were computationally analyzed by conformational energy searching using molecular mechanics and semiempirical quantum chemistry methods,20−27 with the lower-energy conformations further geometrically optimized using the density functional theory (DFT).20",N
CC2,10.1002/anie.201708266,"To the best of our knowledge, such a composite scheme consisting of four more or less independent steps as illustrated in Figure 1 is proposed here for the first time (for related incomplete attempts, see Refs. 5, 9, and 10).",N
CC188,10.1021/acs.jnatprod.0c00929,Automation processes with the Gowonda HPC were carried out using modified python scripts based upon the Willoughby protocol. (37),Y
CC150,10.1016/j.tet.2015.03.016,"The 1H and 13C NMR chemical shifts of the low-energy conformers with Boltzmann populations greater than 1% were calculated using the GIAO method at the mPW1PW91-SCRF/6-311+G(2d,p)//B3LYP-SCRF/6-31G(d,p) level in acetone (PCM).20",Y
CC80,10.1016/j.comptc.2014.11.007,Similar methods were employed by Willoughby et al. [46],N
CC230,10.1021/acs.jnatprod.9b00493,Conformational analysis of 4 was performed with Schrödinger MacroModel 2016 by following the method of Willoughby et al.35,N
CC116,10.1016/j.molstruc.2018.03.050,"All conformers were subjected to the DP4 and MAE analyses [17e19,27,28].",N
CC283,10.1021/jacs.8b01330,"To bolster our assignment of 2ad-d1, we utilized computational methods29 to predict the chemical shifts of the diastereotopic protons in 2ad.",Y
CC56,10.1007/s10593-014-1489-0,"In most cases good matching between calculated and obtained data gives correct information on the spatial structure of the investigated molecules [18, 19]. ",N
CC367,10.3390/biomedicines10040839,"Chemical shift values were calculated from the magnetic shielding tensors using Equation (1) [14–16], where δcxalc is the calculated NMR chemical shift for nucleus x and σo is the shielding tensor for the proton and carbon nuclei in tetramethylsilane calculated using the density-functional theory B3-LYP/6-31+G(d,p) basis set.",N
CC8,10.1002/anie.201916566,"Myriad examples have now been published using chemical shifts computed with modern theoretical methods (generally density functional theory, DFT) to support or refute structure assignments.53-56",N
CC238,10.1021/acs.jnatprod.9b00917,A density functional theory (DFT) calculation of the 13C NMR chemical shifts was performed to determine the configuration.24−26,Y
CC273,10.1021/acs.orglett.9b03216,"The assignment of the relative configurations of 1 and 2 involved calculating nuclear magnetic resonance (NMR) chemical shifts using a widely cited protocol outlined by Willoughby et al., (4) which revealed a surprising operating system dependence on the calculated values due to issues with one of the Python scripts.",N
CC370,10.3390/cryst13010016,Structural determination of ligand L and complex [Zn(L)2]2+ was based on liquid NMR measurements and DFT calculations by a similar 4-step procedure according to Willoughby et al. [1].,Y
CC157,10.1016/j.tetlet.2019.05.061,"All these benzodiazepine derivatives were generated from two anthranilic acids and one amino acid, which is glycine for circumdatin K [18], proline for circumdatins A [15,16], B [15,16], D [22], E [22], H [24] and J [26], and alaine for circumdatins C [16,21], F [22], G [23], I [25] and L [19], respectively.",N
CC127,10.1016/j.phytochem.2022.113136,"Then, Boltzmann-weighted averages of the chemical shifts were calculated to scale them against the experimental values (Willoughby et al., 2014; Xu et al., 2019).",Y
CC85,10.1016/j.ejmech.2020.112888,"This is a common procedure for computational NMR studies [30,32,33].",N
CC335,10.1071/ch20125,The lowest energy conformers of 1 were predicted using Schrödinger MacroModel 2016 by following a previously described procedure.[32],N
CC20,10.1002/ejoc.201403457,"1H NMR calculations were carried out with the GAIO (gauge invariant atomic orbitals) method26 at the B3LYP/6-311+G(2d,p)//M06-2X/6-31+G(d,p) level of theory in chloroform (ϵ = 4.7113), according to the general procedure described by Willoughby et al.18",Y
CC124,10.1016/j.molstruc.2021.131159,We used the Gibbs free energy for Boltzmann population calculations as recommended in Ref. [24].,Y
CC233,10.1021/acs.jnatprod.9b00859,Deviations of less than 6 ppm for 13C and less than 0.3 ppm for 1H shifts are considered acceptable.13−15 ,N
CC395,10.3998/ark.5550190.0016.307,"Chemical shifts were derived from application of scaling factors (slope = −1.0522, intercept = 181.2412)51 to the 13C NMR shielding tensors computed at the B3LYP/6-311+G(2d,p)//M06-2X/6-31+G(d,p) level of theory, followed by Boltzmann averaging over all four conformers at 298 K (further details are provided in the Experimental Section).",Y
CC197,10.1021/acs.jnatprod.1c00738,The mean absolute errors (MAEs) between the computed and experimental chemical shift sets were used to quantitatively evaluate the goodness of fit of the modeled stereoisomers.27,N
CC385,10.3390/molecules24213890,Conformational analyses of each compound were performed with Schrodinger MacroModel [17].,N
CC337,10.1080/07391102.2015.1046937,"The 3D structure of the RpSp paraoxon derivatives were optimized at the B3LYP-6-31G* level using the Gaussian 09 software (Willoughby, Jansma, & Hoye, 2014) to calculate atomic charges for further simulation (Figure 1(a)–(d)).",N
CC87,10.1016/j.ejmech.2020.112888,"Deviations of less than 6 ppm for 13C and less than 0.3 ppm for 1H shifts are considered acceptable [30,32,33].",N
CC81,10.1016/j.comptc.2014.11.007,"It has been purported that calculated NMR properties are particularly sensitive to the molecular geometry employed [3], [46].",N
CC241,10.1021/acs.joc.0c02214,"The parameters a and b of the linear regression δcal = aδexp + b, the correlation coefficient R2, the mean absolute error (MAE) defined as Σn|δcal − δexp|/n, and the corrected mean absolute error (CMAE) defined as Σn|δcorr − δexp|/n, where δcorr = (δcal − b)/a were calculated.32",N
CC261,10.1021/acs.jpca.7b01954,For the calculation of the chemical shifts we largely follow the approach described previously.21,Y
CC400,10.5562/cca2767,"In such cases, the calculated spectra must include the responses from all species, weighted by their Boltzmann factors.[45–52]",Y
CC259,10.1021/acs.jpca.1c08687,"To date, several computational protocols have been suggested for establishing the stereochemistry of compounds with multiple asymmetric centers based on the accurate calculation of their NMR chemical shifts11,15,35−38 within the GIAO framework.39",N
CC236,10.1021/acs.jnatprod.9b00859,Many such misassignments can be avoided through judicious application of NMR chemical shift calculations.9−13,N
CC91,10.1016/j.fitote.2023.105546,"The resulting shielding constants were then converted into chemical shifts by referencing to TMS at 0 ppm (δcal = σTMS – σcal), where σTMS was the shielding constant of TMS calculated at the same level [11].",N
CC79,10.1016/j.comptc.2014.11.007,"In addition, the Boltzmann-weighted chemical shifts were calculated and used to generate the equilibrium NMR spectra (at 298 K) taking into account the relative contribution from the 12 unique conformers identified [46]",Y
CC328,10.1039/d2nj02587f,Willoughby et al.26 suggest the mean absolute error (MAE) defined by: (N is the number of unique chemical shifts in specific structural model).,N
CC347,10.1186/s13321-018-0305-8,"For an initial demonstration of ISiCLE, we have compiled a molecule set of 312 compounds from previous studies: Alver [63], Asiri et al. [64], Bally and Rablen [65], Bagno et al. [66], Borkowski et al. [67], Coruh et al. [68], Fulmer et al. [69], Hill et al. [70], Izgi et al. [71], Karabacak et al. [72], Krishnakumar et al. [73–75], Kwan and Liu [45], Li et al. [76], Lomas [77], Osmialowski et al. [78], Parlak et al. [79], Perez et al. [80], Rablen et al. [81], Sarotti and Pellegrinet [82, 83], Sebastian et al. [84], Seca et al. [52], Senyel et al. [85, 86], Sridevi et al. [87], Tormena and da Silva [88], Vijaya and Sankaran [89], Watts et al. [53], Wiitala et al. [90, 91], Willoughby et al. [92], and Yang et al. [93].",N
CC32,10.1002/mrc.4892,Note that we have used the most stable conformation and not a Boltzmann‐averaged conformation.[29],N
CC227,10.1021/acs.jnatprod.8b01054,The mean absolute error (MAE) between the computed and experimental chemical shift sets was used to quantitatively evaluate goodness of fit of the modeled stereoisomers.38,N
CC376,10.3390/md15060171,"While computational methods for predicting 1H and 13C chemical shifts are well established [6–10], these methods do not work without fail.",N
CC263,10.1021/acs.macromol.7b01692,"Density functional theory (DFT) based methods were used to compute 13C chemical shifts of long and short chain branching points (Br and Br′ in Figure 1).34,35",Y
CC352,10.1186/s13321-018-0305-8,Boltzmann weighting determines the fractional population of each conformer based on its energy level [92].,Y
CC216,10.1021/acs.jnatprod.7b00587,The generation of conformers was performed using Schrödinger MacroModel 2016 by following the protocol reported by Willoughby et al. (24),N
CC187,10.1021/acs.jnatprod.0c00910,Shielding tensors were extracted from Gaussian out files and Boltzmann weighted following the published procedure25 on a Windows 10 operating system.,N
CC218,10.1021/acs.jnatprod.7b00926,The group of Hoye has also provided scripts for automation of GIAO computations according to their recently published protocol.27,N
CC139,10.1016/j.phytol.2019.12.008,"MAEs of ≤0.10 ppm are considered to be ‘correct’ fits and those of ≥0.20 ppm are considered to be ‘incorrect’ structure matches (Willoughby et al., 2014).",N
CC123,10.1016/j.molstruc.2021.131159,"Only five of them have been found as unique conformers and their relative Boltzmann populations were calculated using the formula: where ΔGi are the relative (Gibbs) free energies, kB is the Boltzmann constant, and T is the temperature (T = 298 K) [[23], [24]–25].",Y
CC294,10.1038/s41467-019-12453-6,"Although an arsenal of methods now exists for structure determination, including NMR spectroscopy5–8, X-ray crystallography remains the most definitive, particularly for molecules with one or more stereogenic centers requiring assignment of absolute configuration.",N
CC176,10.1021/acs.jctc.0c00860,"For geometry optimization, the substrate solvation cavities were modeled using the united-atomic radii (UA0), while for chemical shielding calculations, the substrate solvation cavities were modeled using the Bondi atomic radii51 as suggested by Willoughby and co-workers.52",N
CC401,10.1039/9781782623946-00369,"Solution nmr has been used to determine primary and stereochemical structures of synthesized37,38 and extracted small molecules in organic and natural chemistry,27,30,39 respectively.",N
CC31,10.1002/mrc.4818,"Scaling factors (slope = −1.0522, inter- cept = 181.2412) are applied to the 13C NMR shielding tensors (B3LYP/6–311+G(2d,p)//M06‐2X/6–31+G(d,p) to calculate the 13C NMR chemical shifts.[21,22]",N
CC260,10.1021/acs.jpca.7b01954,"Among the various QC methods, density functional theory (DFT) has been shown to yield both the accuracy and numerical efficiency to allow for NMR chemical shift calculations on a routine basis.17−24",N
CC106,10.1016/j.molstruc.2017.09.058,"A conformational analysis with energy minimization was performed to search the most stable molecular structure from the sampling space of each oxime shown in Fig. 1 [20,49,50].",N
CC153,10.1016/j.tet.2019.03.056,The DP4þ probabilities of each possible candidate were calculated with the EXCEL spreadsheet provided by Sarotti et al. [33].,N
CC369,10.3390/cryst13010016,"They also suggested the comparison of calculated chemical shifts (δic), with chemical shifts obtained experimentally (δio) by computation of a “measure” of the structural model quality, i.e., the Mean Absolute Error (MAE) [1]: MAE = (Σi |δic − δio|)/N.",N
CC149,10.1016/j.tet.2015.03.016,The 1H and 13C NMR chemical shifts of (4‴S)-12 and (4‴R)-12 were calculated to determine the configuration at the C-4‴ position.20,Y
